T [°R],Density [lbm/ft³],Viscosity [poise],Cp [BTU/lbm-°R],Conductivity [BTU/hr-ft-°F],Surface Tension [lbf/in],dHvap [BTU/lbm]
131.2124248496994,76.67991459285973,0.003470145678649224,0.40116312280982824,0.10151584018901293,7.52226710455e-05,98.16824781055873
131.56312625250501,76.62497436069222,0.0034454788444062295,0.4011691824421714,0.10135540498011546,7.52226710455e-05,98.10056795534064
131.91382765531063,76.5700059402911,0.0034210931245962765,0.4011754379515641,0.10119495688875692,7.52226710455e-05,98.03281154281613
132.26452905811624,76.51500884181807,0.0033969845087534227,0.4011819296688087,0.10103449432330446,7.52226710455e-05,97.96497422012524
132.61523046092185,76.45998257550426,0.003373149051187115,0.40118869792470796,0.10087401569212513,7.52226710455e-05,97.89705163440816
132.96593186372746,76.40492665164976,0.0033495828697932906,0.40119578305006426,0.10071351940358608,7.52226710455e-05,97.82903943280495
133.31663326653307,76.3498405806235,0.0033262821448892537,0.4012032253756802,0.1005530038660544,7.52226710455e-05,97.76093326245575
133.6673346693387,76.29472387286275,0.003303243118072097,0.40121106523235833,0.1003924674878972,7.52226710455e-05,97.69272877050066
134.0180360721443,76.23957603887278,0.0032804620910998894,0.40121934295090117,0.10023190867748155,7.52226710455e-05,97.62442160407983
134.3687374749499,76.18439658922671,0.0032579354247952953,0.40122809886211125,0.10007132584317463,7.52226710455e-05,97.55600741033331
134.71943887775552,76.12918503456501,0.0032356595379710693,0.4012373732967911,0.09991071739334345,7.52226710455e-05,97.48748183640129
135.07014028056113,76.07394088559538,0.003213630906376964,0.40124720658574325,0.09975008173635519,7.52226710455e-05,97.4188405294238
135.42084168336675,76.01866365309229,0.0031918460616676,0.4012576390597703,0.09958941728057695,7.52226710455e-05,97.35007913654101
135.77154308617236,75.96335284789681,0.003170301590390816,0.4012687110496747,0.0994287224343758,7.52226710455e-05,97.28119330489307
136.12224448897797,75.90801216090034,0.003148994589294479,0.4012808553581811,0.0992680052741992,7.52226710455e-05,97.21220912634713
136.47294589178358,75.85264833160684,0.0031279223673724072,0.4012947660877637,0.0991072817150679,7.52226710455e-05,97.1431764067131
136.8236472945892,75.79726048325573,0.003107081327811665,0.4013104031207126,0.09894655065904112,7.52226710455e-05,97.07409063536117
137.1743486973948,75.74184758350611,0.003086467915998593,0.4013277115383955,0.09878581065427713,7.52226710455e-05,97.00494617982649
137.52505010020042,75.68640860004396,0.0030660786366802292,0.4013466364221807,0.09862506024893426,7.52226710455e-05,96.93573740764414
137.87575150300603,75.63094250058111,0.0030459100528189525,0.4013671228534361,0.09846429799117079,7.52226710455e-05,96.86645868634929
138.22645290581164,75.57544825285457,0.0030259587844719445,0.4013891159135297,0.09830352242914502,7.52226710455e-05,96.79710438347706
138.57715430861725,75.51992482462552,0.0030062215076948726,0.40141256068382963,0.09814273211101524,7.52226710455e-05,96.72766886656252
138.92785571142286,75.46437118367874,0.0029866949534692847,0.4014374022457038,0.09798192558493977,7.52226710455e-05,96.65814650314083
139.27855711422848,75.40878658554024,0.002967375906653096,0.4014635856805203,0.09782110139907692,7.52226710455e-05,96.5885316607471
139.62925851703406,75.35317217643454,0.0029482612049536597,0.40149105606964713,0.09766025810158499,7.52226710455e-05,96.51881870691643
139.97995991983967,75.29752736733256,0.0029293477379229178,0.40151975849445226,0.09749939424062225,7.52226710455e-05,96.44900200918397
140.33066132264528,75.24185111701024,0.0029106324459741194,0.4015496380363038,0.09733850836434702,7.52226710455e-05,96.37907593508481
140.6813627254509,75.18614238426443,0.0028921123194195347,0.40158063977656966,0.0971775990209176,7.52226710455e-05,96.3090348521541
141.0320641282565,75.130400127912,0.0028737843975288045,0.401612708796618,0.0970166647584923,7.52226710455e-05,96.23887312792694
141.38276553106212,75.07462330678855,0.0028556457676073574,0.40164579017781665,0.0968557041252294,7.52226710455e-05,96.16858512993845
141.73346693386773,75.0188108797473,0.0028376935640944513,0.4016798290015338,0.0966947156692872,7.52226710455e-05,96.09816522572375
142.08416833667334,74.962961805658,0.0028199249676804238,0.4017147703491374,0.09653369793882403,7.52226710455e-05,96.02760778281797
142.43486973947896,74.9070750434058,0.0028023372044426835,0.4017505593019955,0.09637264948199818,7.52226710455e-05,95.95690716875622
142.78557114228457,74.85114955189022,0.0027849275450000104,0.40178714094147605,0.09621156884696792,7.52226710455e-05,95.88605775107364
143.13627254509018,74.79518429002394,0.002767693303684787,0.40182446034894714,0.0960504545818916,7.52226710455e-05,95.8150538973053
143.4869739478958,74.7391782167319,0.0027506318377326674,0.40186246260577685,0.09588930523492749,7.52226710455e-05,95.74388997498637
